Jenjang	Sekolah	Kecematan	< 7	7-12	> 12	< 13	13-15	>15	<16	16-18	>18	
SD	SD NEGERI 25 LONRONG	Kec. Ujung Loe	6	48	0	-	-	-	-	-	-	
SD	SD NEGERI 58 TANETE	Kec. Bulukumpa	0	185	13	-	-	-	-	-	-	
SD	SD NEGERI 282 TUBOGA	Kec. Kajang	4	102	10	-	-	-	-	-	-	
SD	SD NEGERI 173 MATEKKO	Kec. Gantarang	28	243	6	-	-	-	-	-	-	
SD	SD NEGERI 325 JATIA	Kec. Ujung Loe	10	111	6	-	-	-	-	-	-	
SD	SD NEGERI 63 CILALLANG	Kec. Bulukumpa	14	164	5	-	-	-	-	-	-	
SD	SD NEGERI 216 LEMBANNA	Kec. Kajang	3	57	2	-	-	-	-	-	-	
SD	SD NEGERI 70 BULO-BULO	Kec. Bulukumpa	4	90	4	-	-	-	-	-	-	
SD	SD NEGERI 43 MATTIROWALIE.	Kec. Kindang	21	158	2	-	-	-	-	-	-	
SD	SD NEGERI 4 BENTENGE	Kec. Ujung Bulu	12	89	3	-	-	-	-	-	-	
SD	SD NEGERI 246 BONTOMANAI	Kec. Rilau Ale	12	147	5	-	-	-	-	-	-	
SD	SD NEGERI 253 TANUNTUNG	Kec. Herlang	1	32	6	-	-	-	-	-	-	
SD	SD NEGERI 133 HILA-HILA	Kec. Bontotiro	5	56	1	-	-	-	-	-	-	
SD	SD NEGERI 321 ARA	Kec. Bontobahari	0	33	0	-	-	-	-	-	-	
SD	SD NEGERI 42 GATTARENG	Kec. Gantarang	9	90	1	-	-	-	-	-	-	
SD	SD NEGERI . 280 BONTOMINASA	Kec. Bulukumpa	7	65	2	-	-	-	-	-	-	
SD	SD NEGERI 288 LIANG-LIANG	Kec. Herlang	12	82	12	-	-	-	-	-	-	
SD	SD NEGERI 18 PALANGISANG	Kec. Ujung Loe	0	144	12	-	-	-	-	-	-	
SD	SD NEGERI 135 ERELEBU	Kec. Bontotiro	5	68	1	-	-	-	-	-	-	
SD	SD NEGERI 73 KASESENG	Kec. Bulukumpa	7	66	0	-	-	-	-	-	-	
SD	SD NEGERI 109 KAJANG KEKE	Kec. Kajang	12	83	6	-	-	-	-	-	-	
SD	SD NEGERI 127 BONTOA		6	74	3	-	-	-	-	-	-	
SD	SD NEGERI 266 TOROLIYA	Kec. Gantarang	2	42	1	-	-	-	-	-	-	
SD	SD NEGERI 215 DASSA	Kec. Kajang	30	216	15	-	-	-	-	-	-	
SD	SD NEGERI 211 PALAMPANG	Kec. Rilau Ale	15	127	1	-	-	-	-	-	-	
SD	SDN NEGERI 328 GATTARENG	Kec. Gantarang	7	85	1	-	-	-	-	-	-	
SD	SD NEGERI 284 TANAH JAYA	Kec. Kajang	3	28	2	-	-	-	-	-	-	
SD	SD NEGERI 123 PATARO	Kec. Herlang	0	60	2	-	-	-	-	-	-	
SD	SD NEGERI 97 SAMPEANG	Kec. Rilau Ale	12	180	1	-	-	-	-	-	-	
SD	SD NEGERI 84 PANGI-PANGI	Kec. Rilau Ale	11	103	0	-	-	-	-	-	-	
SD	SD NEGERI 24 SALEMBA	Kec. Ujung Bulu	32	483	0	-	-	-	-	-	-	
SD	SD NEGERI 245 BATUTOMPO	Kec. Rilau Ale	10	164	3	-	-	-	-	-	-	
SD	SD NEGERI 137 CARAMMING	Kec. Bontotiro	6	101	3	-	-	-	-	-	-	
SD	SD NEGERI 50 PALIOI	Kec. Kindang	4	118	0	-	-	-	-	-	-	
SD	SD NEGERI 176 TAMBANGAN	Kec. Kajang	0	65	1	-	-	-	-	-	-	
SD	SD NEGERI 352 NANA	Kec. Kindang	3	51	4	-	-	-	-	-	-	
SD	SD NEGERI 148 BONTOBULAENG	Kec. Bontotiro	6	51	2	-	-	-	-	-	-	
SD	SD NEGERI 294 PADANGLOANG	Kec. Ujung Loe	1	150	20	-	-	-	-	-	-	
