Jenjang,Sekolah,Laki-laki,Perempuan
SD,SD NEGERI 97 SAMPEANG,123,98
SD,SD NEGERI 24 SALEMBA,276,249
SD,SD NEGERI 245 BATUTOMPO,114,87
SD,SD NEGERI 137 CARAMMING,57,59
SD,SD NEGERI 141 SALU,46,28
SD,SD NEGERI 50 PALIOI,69,65
SD,SD NEGERI 176 TAMBANGAN,37,40
SD,SD NEGERI 352 NANA,29,28
SD,SD NEGERI 148 BONTOBULAENG,37,23
SD,SD NEGERI 288 LIANG,58,48
SD,SD NEGERI 294 PADANGLOANG,84,87
SD,SD NEGERI 262 TANAH LEMO,63,64
SD,SD NEGERI 150 UPASAYA,50,44
SD,SD NEGERI 326 BAMPANG,52,47
SD,SD NEGERI 124 BATUASANG,45,50
SD,SD NEGERI 202 BALLEANGING,70,60
SD,SD NEGERI 33 BARABBA,61,45
SD,SD NEGERI 249 DALOBA,86,82
SD,SD NEGERI 167 KASUSO,47,64
SD,SD NEGERI 164 ARA,15,13
SD,SD NEGERI 56 BALANGDIDI,59,59
SD,SD NEGERI 105 SANGKALA,134,135
SD,SD NEGERI 171 LOKA,215,171
SD,SD NEGERI 41 MATEKKO,198,201
SD,SD NEGERI 31 BONTOMACINNA,164,210
SD,SD NEGERI 57 ORO,57,64
SD,SD NEGERI 296 TAMATTO,30,21
SD,SD NEGERI TERPENCIL 350 KAHAYA,66,61
SD,SD NEGERI 15 MANJALLING,73,75
SD,SDN 337 MALLOMBONG,64,61
SD,SD NEGERI 265 BINTARORE,80,83
SD,SD NEGERI 151 TIMBULA,75,63
SD,SD NEGERI 59 TANETE,72,79
SD,SD NEGERI 252 SAPIRI,52,45
SD,SD NEGERI 62 WAEPEJJE,69,54
SD,SD NEGERI 223 GARANTA,109,105
SD,SD NEGERI 270 DANNUANG,81,74
SD,SD NEGERI 129 BONTOSUKA,45,38
SD,SD NEGERI 2 TERANG,283,274
SD,SD NEGERI 165 BIRA,44,52
SD,SD NEGERI 343 TUGONDENG,43,26
SD,SD NEGERI 213 HULO,54,51
SD,SD NEGERI 70 BULO,69,41
SD,SD NEGERI 286 MALLOMBONG,42,47
SD,SD NEGERI 35 BONTO SUNGGU,59,61
SD,SD NEGERI 198 BIRA,76,73
SD,SD NEGERI 242 GALUNG BODDONG,77,70
SD,SD NEGERI 192 TANAHTOWA,138,136
SD,SD NEGERI 194 MACINNA,67,61
SD,SD NEGERI 212 BONTOBANGUN,86,63
SD,SD NEGERI 188 BONTO BULAENG,66,67
SD,SD NEGERI 302 LATTAE,57,41
SD,SD NEGERI 110 BUNJA,73,57
SD,SD NEGERI 184 PALAMBARAE,115,104
SD,SD NEGERI 175 BULO,75,87
SD,SD NEGERI 10 ELA,107,85
SD,SD ISLAM TERPADU WAHDAH ISLAMIYAH BULUKUMBA,110,104
SD,SD NEGERI 169 TOKALA,48,39
SD,SD NEGERI 238 MATTOANGING,38,23
SD,SD NEGERI 331 BORONG TELLU,71,58
SD,SD NEGERI 48 GANTING.,54,53
SD,SD NEGERI 139 LAMANDA,51,61
SD,SD NEGERI 208 KINDANG,83,68
SD,SD NEGERI 112 BARANG,50,51
SD,SD NEGERI 224 GARANTA,86,94
SD,SD NEGERI 291 LOBI,33,31
SD,SD NEGERI 335 KACIBO,49,27
SD,SD NEGERI 341 BATU,29,28
SD,SD NEGERI 132 BABALOHE,45,45
SD,SD NEGERI 5 APPASARENGE,87,74
SD,SD NEGERI 168 DANGKE,41,47
SD,SD NEGERI 347 TABBINGSITOA,22,15
SD,SD NEGERI 159 LIMBUA,54,42
SD,SD NEGERI 144 BUHUNGLANTANG,47,37
SD,SD NEGERI 334 BINUANG,30,17
SD,SD NEGERI 152 JATIA,41,42
SD,SD NEGERI 332 PULONGGO,15,18
SD,SD NEGERI 339 DUMPU,53,43
SD,SD NEGERI 126 BORONG,29,26
SD,SD NEGERI 239 SARAJOKO,45,37
SD,SD NEGERI 323 TOKOMBENG,70,60
SD,SD NEGERI 163 ARA,80,71
SD,SD NEGERI 234 MATTIROWALIE,85,66
SD,SD NEGERI 258 SAKUI KUI,37,34
SD,SD NEGERI 309 DUMPU,45,46
SD,SD NEGERI 76 BARUGA RIATTANG,53,49
SD,SD NEGERI 23 PADANGLOANG,83,91
SD,SD NEGERI 241 BARUGAE,36,42
SD,SD NEGERI 142 PAKUBALAHO,37,49
SD,SD NEGERI 108 GANTA,69,55
SD,SD NEGERI 218 BATANG,35,34
SD,SD NEGERI 209 TANETE,58,37
SD,SD NEGERI 107 MACCINI,81,77
SD,SD NEGERI 111 KASSIBUTA,113,113
SD,SD NEGERI 83 PANGI,84,97
SD,SD NEGERI 99 SALASSAE,38,39
SD,SD NEGERI 117 LEMBANG TUMBU,64,42
SD,SD NEGERI 44 DAMPANG,139,96
SD,SD NEGERI 203 BONTOMACINNA,81,93
SD,SD NEGERI 39 BONTO NYELENG,103,109
SD,SD NEGERI 154 TULEKKO,42,24
SD,SD NEGERI 38 GATTARENG,107,109
SD,SD NEGERI 85 BINGKARONGO,90,63
SD,SD NEGERI 46 MATTIROWALIE,77,73
SD,SD NEGERI 40 BONTO NYELENG,62,56
SD,SD NEGERI 271 GARANTA,43,51
