Jenjang,Sekolah,Kecematan,< 16,16 - 18,>18
SD,SD NEGERI 208 KINDANG,Kec. Kindang,0,134,17
SD,SD NEGERI 112 BARANG,Kec. Kajang,3,88,10
SD,SD NEGERI 224 GARANTA,Kec. Ujung Loe,0,166,14
SD,SD NEGERI 291 LOBI,Kec. Bontotiro,0,61,3
SD,SD NEGERI 335 KACIBO,Kec. Rilau Ale,0,70,6
SD,SD NEGERI 341 BATU,Kec. Herlang,0,52,5
SD,SD NEGERI 132 BABALOHE,Kec. Herlang,0,86,4
SD,SD NEGERI 5 APPASARENGE,Kec. Ujung Bulu,0,149,12
SD,SD NEGERI 168 DANGKE,Kec. Bontobahari,1,82,5
SD,SD NEGERI 347 TABBINGSITOA,Kec. Bontotiro,0,34,3
SD,SD NEGERI 159 LIMBUA,Kec. Bontobahari,3,89,4
SD,SD NEGERI 144 BUHUNGLANTANG,Kec. Bontotiro,0,78,6
SD,SD NEGERI 334 BINUANG,Kec. Bulukumpa,0,38,9
SD,SD NEGERI 152 JATIA,Kec. Bontotiro,0,75,8
SD,SD NEGERI 332 PULONGGO,Kec. Bulukumpa,3,24,6
SD,SD NEGERI 339 DUMPU,Kec. Kajang,6,81,9
SD,SD NEGERI 126 BORONG,Kec. Herlang,0,54,1
SD,SD NEGERI 239 SARAJOKO,Kec. Bulukumpa,0,80,2
SD,SD NEGERI 323 TOKOMBENG,Kec. Ujung Loe,0,118,12
SD,SD NEGERI 163 ARA,Kec. Bontobahari,0,136,15
SD,SD NEGERI 234 MATTIROWALIE,Kec. Kindang,0,144,7
SD,SD NEGERI 258 SAKUI KUI,Kec. Bontotiro,0,68,3
SD,SD NEGERI 309 DUMPU,Kec. Kajang,0,84,7
SD,SD NEGERI 76 BARUGA RIATTANG,Kec. Bulukumpa,2,91,9
SD,SD NEGERI 23 PADANGLOANG,Kec. Ujung Loe,0,167,7
SD,SD NEGERI 241 BARUGAE,Kec. Bulukumpa,0,72,6
SD,SD NEGERI 142 PAKUBALAHO,Kec. Bontotiro,0,82,4
SD,SD NEGERI 108 GANTA,Kec. Kajang,0,117,7
SD,SD NEGERI 218 BATANG,Kec. Bontotiro,1,66,2
SD,SD NEGERI 209 TANETE,Kec. Bulukumpa,1,89,5
SD,SD NEGERI 107 MACCINI,Kec. Kajang,1,146,11
SD,SD NEGERI 111 KASSIBUTA,Kec. Kajang,1,208,17
SD,SD NEGERI 83 PANGI,Kec. Rilau Ale,0,176,5
SD,SD NEGERI 99 SALASSAE,Kec. Bulukumpa,0,75,2
SD,SD NEGERI 117 LEMBANG TUMBU,Kec. Herlang,0,97,9
SD,SD NEGERI 44 DAMPANG,Kec. Gantarang,0,217,18
SD,SD NEGERI 203 BONTOMACINNA,Kec. Gantarang,0,166,8
SD,SD NEGERI 39 BONTO NYELENG,Kec. Gantarang,0,195,17
SD,SD NEGERI 154 TULEKKO,Kec. Bontotiro,0,57,9
SD,SD NEGERI 38 GATTARENG,Kec. Gantarang,0,210,6
SD,SD NEGERI 85 BINGKARONGO,Kec. Rilau Ale,0,136,17
SD,SD NEGERI 46 MATTIROWALIE,Kec. Kindang,0,139,11
SD,SD NEGERI 40 BONTO NYELENG,Kec. Gantarang,0,112,6
SD,SD NEGERI 271 GARANTA,Kec. Ujung Loe,0,86,8
SD,SD NEGERI 47 ANRIHUA.,Kec. Kindang,0,115,8
SD,SD NEGERI 318 KARRINGA,Kec. Herlang,0,65,5
