Jenjang,Sekolah,Kecematan,1,2,3,4,5,6,7,8,9,10,11,12,13
SD,SD NEGERI 21 SEPPANG,Kec. Ujung Loe,1,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 90 GANJENGE,Kec. Rilau Ale,2,2,2,1,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 287 DOMENGA,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 27 MATEKKO,Kec. Gantarang,2,2,2,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 182 DANNUANG,Kec. Ujung Loe,2,3,2,2,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 206 BONTONYELENG,Kec. Gantarang,2,1,1,2,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 187 BONTOMANAI,Kec. Rilau Ale,2,1,2,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 226 BALLEANGING,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 145 TUJU,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 247 PATTOENGAN,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 297 MATEKKO,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 222 DANNUANG,Kec. Ujung Loe,1,2,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI NO. 98 BONTOMANAI,Kec. Rilau Ale,1,1,2,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 311 LURAYA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 94 BALIMBING,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 293 TANAHKONGKONG,Kec. Ujung Bulu,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 26 MATEKKO,Kec. Gantarang,2,2,2,2,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 281 SUMALAYA,Kec. Kajang,1,1,1,1,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 290 TAHEBATU,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 227 BONTOMACINNA,Kec. Gantarang,2,2,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 113 DANGGAREHANG,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 158 BENJALA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 196 TRITIRO,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 65 BALANGRIRI,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 346 TIMBULA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 319 LOKAJAHA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 9 TANAH KONGKONG,Kec. Ujung Bulu,2,2,2,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 19 MANYAMPA,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 244 SALASSAE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 254 BANYORO,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 263 TANAH LEMO,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 157 PASARAYA,Kec. Bontobahari,1,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 130 BONTOBEANG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 320 MARAKKIUNG,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 191 LEMBANNA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI NO 6 KASUARA,Kec. Ujung Bulu,1,2,2,1,1,2,-,-,-,-,-,-,-
SD,SD NEGERI 312 SAPAYA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 131 BONTO BANA,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 86 LONGI,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 45 DAMPANG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 120 BAJANG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 233 DAMPANG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 72 BAMBAUNGANG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 22 ALLU,Kec. Ujung Loe,1,1,1,2,2,1,-,-,-,-,-,-,-
SD,SDN 353 ULUPARANG,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 87 BUTTAKEKE,Kec. Rilau Ale,1,1,2,1,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 313 PAPINJENG,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 88 BATUKAROPA,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 190 TANAH JAYA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 149 TAMALALA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 345 SAMAKORE,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 161 ARA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 210 BONTOMINASA,Kec. Bulukumpa,1,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 91 MUNTE,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 64 BALANGBESSI,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 255 PARANGLOHE,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 116 USA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 267 DAULELE,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI .172 BORONGKALUKUE,Kec. Ujung Bulu,2,2,2,2,2,1,-,-,-,-,-,-,-
