sekolah,laki-laki,perempuan
SD NEGERI 68 TIBONA,86,69
SD NEGERI 69 ANNISIA,47,49
SD NEGERI 70 BULO-BULO,69,41
SD NEGERI 71 BARUGAE,45,47
SD NEGERI 72 BAMBAUNGANG,30,22
SD NEGERI 73 KASESENG,35,40
SD NEGERI 74 TAMARELLANG,79,72
SD NEGERI 75 PETTUNGE,34,42
SD NEGERI 76 BARUGA RIATTANG,54,49
SD NEGERI 77 BONTOBAJU,24,27
SD NEGERI 78 BONTOA,52,45
SD NEGERI 79 LAJAE,69,87
SD NEGERI 8 NIPA,73,67
SD NEGERI 80 BULUKUMPA,94,73
SD NEGERI 81 PALAMPANG,85,65
SD NEGERI 82 PALAMPANG,75,72
SD NEGERI 83 PANGI-PANGI,84,97
SD NEGERI 84 PANGI-PANGI,59,61
SD NEGERI 85 BINGKARONGO,90,63
SD NEGERI 86 LONGI,56,49
SD NEGERI 87 BUTTAKEKE,96,98
SD NEGERI 88 BATUKAROPA,63,70
SD NEGERI 89 BATU KAROPA,61,79
SD NEGERI 9 TANAH KONGKONG,113,123
SD NEGERI 90 GANJENGE,107,139
SD NEGERI 91 MUNTE,48,40
SD NEGERI 92 PANGALLOANG,49,66
SD NEGERI 94 BALIMBING,83,74
SD NEGERI 95 BONTOBULAENG,39,34
SD NEGERI 96 GALUNG BODDONG,19,17
SD NEGERI 97 SAMPEANG,123,98
SD NEGERI 99 SALASSAE,38,39
SD NEGERI NO 279 TALLE-TALLE,67,77
SD NEGERI NO 6 KASUARA,99,128
SD NEGERI NO 93 MARANA,27,36
SD NEGERI NO. 98 BONTOMANAI,152,146
SD NEGERI TERPENCIL 350 KAHAYA,66,61
SDN 1 TERANG-TERANG,87,87
SDN 277 PANGI-PANGI,46,44
SDN 337 MALLOMBONG,64,61
SDN 353 ULUPARANG,72,66
SDN 7 MATAJANG,205,194
SDN NEGERI 328 GATTARENG,45,55
SLB NEGERI BULUKUMBA,56,37
SLBS ABCD DARMAWANITA HERLANG,31,23
SMA  NEGERI 19 BULUKUMBA,46,39
SMA NEGERI 18 BULUKUMBA,210,228
SMAN 1 BULUKUMBA,405,721
SMAN 10 BULUKUMBA,353,492
SMAN 11 BULUKUMBA,211,259
SMAN 12 BULUKUMBA,175,244
SMAN 13 BULUKUMBA,116,141
SMAN 14 BULUKUMBA,126,161
SMAN 15 BULUKUMBA,90,91
SMAN 16 BULUKUMBA,121,101
SMAN 17 BULUKUMBA,86,63
SMAN 2 BULUKUMBA,432,609
SMAN 3 BULUKUMBA,326,477
SMAN 4 BULUKUMBA,277,318
SMAN 5 BULUKUMBA,387,562
SMAN 6 BULUKUMBA,360,443
SMAN 7 BULUKUMBA,260,286
SMAN 8 BULUKUMBA,362,593
SMAN 9 BULUKUMBA,363,567
SMAS KARYA SAHARI BULUKUMBA,142,67
SMAS MUHAMMADIYAH BULUKUMBA,73,37
SMAS PGRI BULUKUMBA,28,12
SMK BINA BANGSA,,
SMK CENDEKIA INSAN MANDIRI,4,4
SMKN 1 BULUKUMBA,590,629
SMKN 10 BULUKUMBA,127,111
SMKN 11 BULUKUMBA,80,46
SMKN 2 BULUKUMBA,124,104
SMKN 3 BULUKUMBA,230,96
SMKN 4 BULUKUMBA,114,75
SMKN 5 BULUKUMBA,176,120
SMKN 6 PERKAPALAN BULUKUMBA,51,39
SMKN 7 BULUKUMBA,109,70
SMKN 8 BULUKUMBA,126,64
SMKN 9 BULUKUMBA,34,39
SMKS AL IRSYAD BULUKUMBA,,
SMKS ARKARNIS BATANG,10,18
SMKS KEPERAWATAN ALIF SYAWAL BULUKUMBA,5,19
SMKS KESEHATAN PHINISI BULUKUMBA,4,10
SMKS MUHAMMADIYAH BULUKUMBA,30,73
SMKS MULIA ASRI BULUKUMBA,19,24
SMKS PEPABRI BULUKUMBA,102,4
SMKS PUTRA BANGSA BULUKUMBA,45,32
SMKS TEKNOLOGI INFORMATIKA BULUKUMBA,32,13
SMP AL GAZALI,27,9
SMP AL-IRSYAD ,31,29
SMP INTEGRAL AL HIKMAH,36,28
SMP ISLAM AL QALAM,22,30
SMP MUHAMMADIYAH BULUKUMBA,32,45
SMP NEGERI 1 BULUKUMBA,557,584
SMP NEGERI 10 BULUKUMBA,306,388
SMP NEGERI 11 BULUKUMBA,163,169
SMP NEGERI 12 BULUKUMBA ,168,195
SMP NEGERI 13 BULUKUMBA,57,63
SMP NEGERI 14 BULUKUMBA,302,297
SMP NEGERI 15 BULUKUMBA,103,118
SMP NEGERI 16 BULUKUMBA,164,172
SMP NEGERI 17 BULUKUMBA,134,151
SMP NEGERI 18 BULUKUMBA ,105,89
SMP NEGERI 19 BULUKUMBA ,296,310
SMP NEGERI 2 BULUKUMBA,293,410
SMP NEGERI 20 BULUKUMBA,340,359
SMP NEGERI 21 BULUKUMBA,125,166
SMP NEGERI 22 BULUKUMBA,95,88
SMP NEGERI 23 BULUKUMBA,67,56
SMP NEGERI 24 BULUKUMBA ,176,162
SMP NEGERI 25 BULUKUMBA,179,167
SMP NEGERI 26 HERLANG,80,114
SMP NEGERI 27 BULUKUMBA,55,63
SMP NEGERI 28 BULUKUMBA,107,85
SMP NEGERI 29 BULUKUMBA,134,130
SMP NEGERI 3 BULUKUMBA ,122,112
