Jenjang,Sekolah,Kecematan,<= 30,31 - 35,36 - 40,41 - 45,46 - 50,51 - 55,> 55
SD,SD NEGERI 148 BONTOBULAENG,Kec. Bontotiro,1,1,0,0,0,5,2
SD,SD NEGERI 288 LIANG,Kec. Herlang,1,3,3,1,1,1,0
SD,SD NEGERI 294 PADANGLOANG,Kec. Ujung Loe,1,0,1,1,5,0,1
SD,SD NEGERI 262 TANAH LEMO,Kec. Bontobahari,2,1,0,0,3,0,4
SD,SD NEGERI 150 UPASAYA,Kec. Bontotiro,2,2,1,0,0,0,3
SD,SD NEGERI 326 BAMPANG,Kec. Ujung Loe,1,3,0,1,1,2,1
SD,SD NEGERI 124 BATUASANG,Kec. Herlang,1,0,0,0,2,3,3
SD,SD NEGERI 202 BALLEANGING,Kec. Ujung Loe,3,2,1,1,0,2,0
SD,SD NEGERI 33 BARABBA,Kec. Gantarang,0,2,1,1,1,4,1
SD,SD NEGERI 249 DALOBA,Kec. Kajang,2,3,0,1,1,0,2
SD,SD NEGERI 167 KASUSO,Kec. Bontobahari,3,2,0,1,1,2,0
SD,SD NEGERI 164 ARA,Kec. Bontobahari,1,1,0,1,1,1,2
SD,SD NEGERI 56 BALANGDIDI,Kec. Kindang,1,3,1,1,1,2,0
SD,SD NEGERI 105 SANGKALA,Kec. Kajang,1,1,4,3,1,0,0
SD,SD NEGERI 171 LOKA,Kec. Ujung Bulu,0,4,3,3,3,4,2
SD,SD NEGERI 41 MATEKKO,Kec. Gantarang,4,1,2,5,5,2,3
SD,SD NEGERI 31 BONTOMACINNA,Kec. Gantarang,0,6,6,1,3,3,0
SD,SD NEGERI 57 ORO,Kec. Kindang,2,3,1,0,2,0,0
SD,SD NEGERI 296 TAMATTO,Kec. Ujung Loe,1,4,1,0,1,1,0
SD,SD NEGERI TERPENCIL 350 KAHAYA,Kec. Kindang,0,2,4,2,0,0,1
SD,SD NEGERI 15 MANJALLING,Kec. Ujung Loe,0,2,3,2,1,0,1
SD,SDN 337 MALLOMBONG,Kec. Kajang,2,2,0,1,2,2,0
SD,SD NEGERI 265 BINTARORE,Kec. Ujung Bulu,0,1,2,3,0,2,1
SD,SD NEGERI 151 TIMBULA,Kec. Bontotiro,2,3,0,2,1,1,1
SD,SD NEGERI 59 TANETE,Kec. Bulukumpa,1,0,2,3,1,2,2
SD,SD NEGERI 252 SAPIRI,Kec. Kajang,2,3,1,1,2,0,0
SD,SD NEGERI 62 WAEPEJJE,Kec. Bulukumpa,1,2,2,2,1,0,1
SD,SD NEGERI 223 GARANTA,Kec. Ujung Loe,2,4,3,0,1,1,2
SD,SD NEGERI 270 DANNUANG,Kec. Ujung Loe,1,1,2,0,2,1,3
SD,SD NEGERI 129 BONTOSUKA,Kec. Herlang,0,2,1,2,1,2,1
SD,SD NEGERI 2 TERANG,Kec. Ujung Bulu,0,3,6,4,5,8,1
SD,SD NEGERI 165 BIRA,Kec. Bontobahari,1,3,2,1,0,1,0
SD,SD NEGERI 343 TUGONDENG,Kec. Herlang,1,1,0,2,0,2,3
SD,SD NEGERI 213 HULO,Kec. Bulukumpa,3,3,0,0,2,1,0
