Jenjang,Sekolah,Kecematan,PNS,GTT,GTY,Honor
SD,SD NEGERI 352 NANA,Kec. Kindang,3,0,0,6
SD,SD NEGERI 148 BONTOBULAENG,Kec. Bontotiro,7,0,0,2
SD,SD NEGERI 288 LIANG,Kec. Herlang,2,0,0,7
SD,SD NEGERI 294 PADANGLOANG,Kec. Ujung Loe,6,0,0,1
SD,SD NEGERI 262 TANAH LEMO,Kec. Bontobahari,6,0,0,0
SD,SD NEGERI 150 UPASAYA,Kec. Bontotiro,4,0,0,4
SD,SD NEGERI 326 BAMPANG,Kec. Ujung Loe,5,0,0,4
SD,SD NEGERI 124 BATUASANG,Kec. Herlang,7,0,0,2
SD,SD NEGERI 202 BALLEANGING,Kec. Ujung Loe,4,0,0,5
SD,SD NEGERI 33 BARABBA,Kec. Gantarang,8,0,0,2
SD,SD NEGERI 249 DALOBA,Kec. Kajang,4,0,0,4
SD,SD NEGERI 167 KASUSO,Kec. Bontobahari,3,0,0,6
SD,SD NEGERI 164 ARA,Kec. Bontobahari,4,0,0,3
SD,SD NEGERI 56 BALANGDIDI,Kec. Kindang,4,0,0,2
SD,SD NEGERI 105 SANGKALA,Kec. Kajang,6,0,0,2
SD,SD NEGERI 171 LOKA,Kec. Ujung Bulu,15,0,0,4
SD,SD NEGERI 41 MATEKKO,Kec. Gantarang,15,0,0,7
SD,SD NEGERI 31 BONTOMACINNA,Kec. Gantarang,10,0,0,8
SD,SD NEGERI 57 ORO,Kec. Kindang,5,0,0,3
SD,SD NEGERI 296 TAMATTO,Kec. Ujung Loe,3,0,0,5
SD,SD NEGERI TERPENCIL 350 KAHAYA,Kec. Kindang,6,0,0,3
SD,SD NEGERI 15 MANJALLING,Kec. Ujung Loe,5,0,0,4
SD,SDN 337 MALLOMBONG,Kec. Kajang,5,0,0,4
SD,SD NEGERI 265 BINTARORE,Kec. Ujung Bulu,7,0,0,2
SD,SD NEGERI 151 TIMBULA,Kec. Bontotiro,5,0,0,5
SD,SD NEGERI 59 TANETE,Kec. Bulukumpa,9,0,0,2
SD,SD NEGERI 252 SAPIRI,Kec. Kajang,3,0,0,0
SD,SD NEGERI 62 WAEPEJJE,Kec. Bulukumpa,6,0,0,0
SD,SD NEGERI 223 GARANTA,Kec. Ujung Loe,7,0,0,6
SD,SD NEGERI 270 DANNUANG,Kec. Ujung Loe,9,0,0,1
SD,SD NEGERI 129 BONTOSUKA,Kec. Herlang,6,0,0,3
SD,SD NEGERI 2 TERANG,Kec. Ujung Bulu,24,0,0,3
SD,SD NEGERI 165 BIRA,Kec. Bontobahari,5,0,0,3
SD,SD NEGERI 343 TUGONDENG,Kec. Herlang,5,0,0,1
SD,SD NEGERI 213 HULO,Kec. Bulukumpa,3,0,0,1
SD,SD NEGERI 70 BULO,Kec. Bulukumpa,7,0,0,5
SD,SD NEGERI 286 MALLOMBONG,Kec. Herlang,6,0,0,3
SD,SD NEGERI 35 BONTO SUNGGU,Kec. Gantarang,8,0,0,3
SD,SD NEGERI 198 BIRA,Kec. Bontobahari,6,0,0,3
SD,SD NEGERI 242 GALUNG BODDONG,Kec. Rilau Ale,6,0,0,2
SD,SD NEGERI 192 TANAHTOWA,Kec. Kajang,4,0,0,3
SD,SD NEGERI 194 MACINNA,Kec. Herlang,7,0,0,1
SD,SD NEGERI 212 BONTOBANGUN,Kec. Rilau Ale,9,0,0,2
SD,SD NEGERI 188 BONTO BULAENG,Kec. Bulukumpa,7,0,0,0
SD,SD NEGERI 302 LATTAE,Kec. Kindang,5,0,0,3
SD,SD NEGERI 110 BUNJA,Kec. Kajang,4,0,0,2
SD,SD NEGERI 184 PALAMBARAE,Kec. Gantarang,11,0,0,3
SD,SD NEGERI 175 BULO,Kec. Bulukumpa,9,0,0,4
SD,SD NEGERI 10 ELA,Kec. Ujung Bulu,11,0,0,2
SD,SD ISLAM TERPADU WAHDAH ISLAMIYAH BULUKUMBA,Kec. Ujung Bulu,5,0,7,1
SD,SD NEGERI 169 TOKALA,Kec. Bontobahari,5,0,0,3
SD,SD NEGERI 238 MATTOANGING,Kec. Bulukumpa,4,0,0,0
SD,SD NEGERI 331 BORONG TELLU,Kec. Gantarang,7,0,0,4
SD,SD NEGERI 48 GANTING.,Kec. Kindang,4,0,1,4
SD,SD NEGERI 139 LAMANDA,Kec. Bontotiro,6,0,0,2
SD,SD NEGERI 208 KINDANG,Kec. Kindang,4,0,0,4
SD,SD NEGERI 112 BARANG,Kec. Kajang,6,0,0,3
SD,SD NEGERI 224 GARANTA,Kec. Ujung Loe,6,0,0,4
SD,SD NEGERI 291 LOBI,Kec. Bontotiro,5,0,0,4
SD,SD NEGERI 335 KACIBO,Kec. Rilau Ale,5,0,0,4
SD,SD NEGERI 341 BATU,Kec. Herlang,6,0,0,6
SD,SD NEGERI 132 BABALOHE,Kec. Herlang,4,0,0,3
SD,SD NEGERI 5 APPASARENGE,Kec. Ujung Bulu,9,0,0,2
SD,SD NEGERI 168 DANGKE,Kec. Bontobahari,5,0,0,4
SD,SD NEGERI 347 TABBINGSITOA,Kec. Bontotiro,5,0,0,3
SD,SD NEGERI 159 LIMBUA,Kec. Bontobahari,4,0,0,4
SD,SD NEGERI 144 BUHUNGLANTANG,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 334 BINUANG,Kec. Bulukumpa,2,0,0,1
SD,SD NEGERI 152 JATIA,Kec. Bontotiro,5,0,0,5
SD,SD NEGERI 332 PULONGGO,Kec. Bulukumpa,3,0,0,4
SD,SD NEGERI 339 DUMPU,Kec. Kajang,2,0,0,5
SD,SD NEGERI 126 BORONG,Kec. Herlang,4,0,0,3
SD,SD NEGERI 239 SARAJOKO,Kec. Bulukumpa,7,0,0,4
SD,SD NEGERI 323 TOKOMBENG,Kec. Ujung Loe,3,0,0,6
SD,SD NEGERI 163 ARA,Kec. Bontobahari,5,0,0,3
SD,SD NEGERI 234 MATTIROWALIE,Kec. Kindang,7,0,0,9
SD,SD NEGERI 258 SAKUI KUI,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 309 DUMPU,Kec. Kajang,5,0,0,0
SD,SD NEGERI 76 BARUGA RIATTANG,Kec. Bulukumpa,2,0,0,6
SD,SD NEGERI 23 PADANGLOANG,Kec. Ujung Loe,6,0,0,4
SD,SD NEGERI 241 BARUGAE,Kec. Bulukumpa,1,0,0,1
SD,SD NEGERI 142 PAKUBALAHO,Kec. Bontotiro,5,0,0,4
SD,SD NEGERI 108 GANTA,Kec. Kajang,3,0,0,0
